35,34,44,16,50,29,20,23,30,2,7,42,21,31,17,3,18,22,1,49,36,32,45,19,41,8,10,9,33,43,15,5,24,6,4,25,12,51,11,52,13,14,27,47,26,28,46,48,38,40,37,39,35
35,34,44,16,50,29,20,23,30,2,7,42,21,31,17,3,18,22,1,49,36,32,9,10,8,41,19,45,33,43,15,5,24,6,4,25,12,51,11,52,13,14,27,47,26,28,46,48,38,40,37,39,35
35,34,44,16,50,29,20,23,30,2,7,42,21,31,17,3,18,22,1,49,36,32,9,10,8,41,19,45,33,43,15,5,24,6,4,25,12,51,11,52,13,14,27,47,26,28,46,48,38,40,37,39,35
35,34,44,16,50,29,20,23,30,2,7,42,21,31,17,3,18,22,1,49,36,32,9,10,8,41,19,45,33,43,15,5,24,6,4,25,12,51,11,52,13,14,27,47,26,28,46,48,38,40,37,39,35
35,34,39,37,40,38,48,46,28,26,47,27,14,13,52,11,51,12,25,4,6,24,5,15,43,33,45,19,41,8,10,9,32,36,49,1,22,18,3,17,31,21,42,7,2,30,23,20,29,50,16,44,35
35,9,10,8,41,19,45,33,43,15,5,24,6,4,25,12,51,11,52,13,14,27,47,26,28,46,48,38,40,37,39,34,32,36,49,1,22,18,3,17,31,21,42,7,2,30,23,20,29,50,16,44,35
35,9,10,8,41,19,45,33,43,15,5,24,6,4,25,12,51,11,52,13,14,27,47,26,28,46,48,38,40,37,39,34,32,36,49,1,22,18,3,17,31,21,42,7,2,30,23,20,29,50,16,44,35
35,9,10,8,41,19,45,33,43,15,5,24,6,4,25,12,51,11,52,13,14,27,47,26,28,46,48,38,40,37,39,34,32,36,49,1,22,18,3,17,31,21,42,7,2,30,23,20,29,50,16,44,35
48,46,28,26,47,27,14,13,52,11,51,12,25,4,6,24,5,15,43,33,45,19,41,8,10,9,35,38,40,37,39,34,32,36,49,1,22,18,3,17,31,21,42,7,2,30,23,20,29,50,16,44,48
48,46,28,26,47,27,14,13,52,11,51,12,25,4,6,24,5,15,43,33,45,19,41,8,10,9,35,38,40,37,39,34,32,36,49,1,22,18,3,17,31,21,42,7,2,30,23,20,29,50,16,44,48
